id	for	attr.name	attr.type	edgedefault	id2	ns1:data	key	source	target
d0	node	GeneID	string	undirected	5888	5888	d0		
d0	node	GeneID	string	undirected	7161	7161	d0		
d0	node	GeneID	string	undirected	4609	4609	d0		
d0	node	GeneID	string	undirected	367	367	d0		
d0	node	GeneID	string	undirected	860	860	d0		
d0	node	GeneID	string	undirected	2697	2697	d0		
d0	node	GeneID	string	undirected	5581	5581	d0		
d0	node	GeneID	string	undirected	10524	10524	d0		
d0	node	GeneID	string	undirected	7157	7157	d0		
d0	node	GeneID	string	undirected	1869	1869	d0		
d0	node	GeneID	string	undirected	6714	6714	d0		
d0	node	GeneID	string	undirected	2308	2308	d0		
d0	node	GeneID	string	undirected	10018	10018	d0		
d0	node	GeneID	string	undirected	598	598	d0		
d0	node	GeneID	string	undirected	3320	3320	d0		
d0	node	GeneID	string	undirected	3921	3921	d0		
d0	node	GeneID	string	undirected	3725	3725	d0		
d0	node	GeneID	string	undirected	6520	6520	d0		
d0	node	GeneID	string	undirected	842	842	d0		
d0	node	GeneID	string	undirected	79444	79444	d0		
d0	node	GeneID	string	undirected	4914	4914	d0		
d0	node	GeneID	string	undirected	8379	8379	d0		
d0	node	GeneID	string	undirected	1915	1915	d0		
d0	node	GeneID	string	undirected	3316	3316	d0		
d0	node	GeneID	string	undirected	1956	1956	d0		
d0	node	GeneID	string	undirected	5159	5159	d0		
d0	node	GeneID	string	undirected	2932	2932	d0		
d0	node	GeneID	string	undirected	4170	4170	d0		
d0	node	GeneID	string	undirected	4613	4613	d0		
d0	node	GeneID	string	undirected	3065	3065	d0		
d0	node	GeneID	string	undirected	4869	4869	d0		
d0	node	GeneID	string	undirected	84549	84549	d0		
d0	node	GeneID	string	undirected	5295	5295	d0		
d0	node	GeneID	string	undirected	1398	1398	d0		
d0	node	GeneID	string	undirected	2026	2026	d0		
d0	node	GeneID	string	undirected	8452	8452	d0		
d0	node	GeneID	string	undirected	6790	6790	d0		
d0	node	GeneID	string	undirected	54206	54206	d0		
d0	node	GeneID	string	undirected	4035	4035	d0		
d0	node	GeneID	string	undirected	7520	7520	d0		
d0	node	GeneID	string	undirected	10013	10013	d0		
d0	node	GeneID	string	undirected	26073	26073	d0		
d0	node	GeneID	string	undirected	64689	64689	d0		
d0	node	GeneID	string	undirected	7013	7013	d0		
d0	node	GeneID	string	undirected	6418	6418	d0		
d0	node	GeneID	string	undirected	5879	5879	d0		
d0	node	GeneID	string	undirected	10401	10401	d0		
d0	node	GeneID	string	undirected	6046	6046	d0		
d0	node	GeneID	string	undirected	2335	2335	d0		
d0	node	GeneID	string	undirected	1645	1645	d0		
d0	node	GeneID	string	undirected	1855	1855	d0		
d0	node	GeneID	string	undirected	50855	50855	d0		
d0	node	GeneID	string	undirected	5979	5979	d0		
d0	node	GeneID	string	undirected	5747	5747	d0		
d0	node	GeneID	string	undirected	7421	7421	d0		
d0	node	GeneID	string	undirected	1958	1958	d0		
d0	node	GeneID	string	undirected	5610	5610	d0		
d0	node	GeneID	string	undirected	6777	6777	d0		
d0	node	GeneID	string	undirected	3553	3553	d0		
d0	node	GeneID	string	undirected	1215	1215	d0		
d0	node	GeneID	string	undirected	3383	3383	d0		
d0	node	GeneID	string	undirected	60	60	d0		
d0	node	GeneID	string	undirected	1786	1786	d0		
d0	node	GeneID	string	undirected	11065	11065	d0		
d0	node	GeneID	string	undirected	5710	5710	d0		
d0	node	GeneID	string	undirected	6767	6767	d0		
d0	node	GeneID	string	undirected	983	983	d0		
d0	node	GeneID	string	undirected	6198	6198	d0		
d0	node	GeneID	string	undirected	2353	2353	d0		
d0	node	GeneID	string	undirected	5914	5914	d0		
d0	node	GeneID	string	undirected	7508	7508	d0		
d0	node	GeneID	string	undirected	5296	5296	d0		
d0	node	GeneID	string	undirected	7415	7415	d0		
d0	node	GeneID	string	undirected	2309	2309	d0		
d0	node	GeneID	string	undirected	4193	4193	d0		
d0	node	GeneID	string	undirected	7329	7329	d0		
